link,image,title
//www.jd.id/product/logitech-b175-wireless-mouse-hitam_668970/10001360.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAGwAAABUAFEkG4wADgcg.jpg,Logitech B175 Wireless Mouse - Hitam
//www.jd.id/product/logitech-mouse-wireless-m170-black_742789/10094037.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAYQAAAAMAAzRT2QADcmU.jpg,LOGITECH Mouse Wireless M170 - Black
//www.jd.id/product/logitech-m220-silent-wireless-mouse-grey_10613676/101368279.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAsAAAAA0ACb8wsQADze8.jpg,LOGITECH M220 Silent Wireless Mouse – Grey
//www.jd.id/product/logitech-usb-optical-mouse-b100-hitam_668928/10001318.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAGAAAAA4AH-oDTwAAnuw.jpg,Logitech USB Optical Mouse B100 - Hitam
//www.jd.id/product/logitech-mouse-m90-optical-usb_668903/10001293.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAFgAAAAUAFEoxbgADj4k.jpg,Logitech Mouse M90 Optical USB
//www.jd.id/product/logitech-mouse-wireless-m331-silent-red_742795/10094043.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAgAAAAEACI0Q8QAA9x0.jpg,LOGITECH Mouse Wireless M331 Silent - Red
//www.jd.id/product/logitech-classic-keyboard-k120-black-usb_669073/10001464.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAACgAAABsAAC6YugAAqYQ.jpg,Logitech Classic keyboard K120 Black USB
//www.jd.id/product/logitech-mk215-wireless-combo-mouse-keyboard_10103703/100237768.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAHAAAAAMAEypKPgAEhqQ.jpg,LOGITECH MK215 Wireless Combo Mouse Keyboard
//www.jd.id/product/logitech-mk275-wireless-combo-mouse-keyboard_10103701/100237766.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAHgAAABUAFMi3cAAEwTM.jpg,LOGITECH MK275 Wireless Combo Mouse Keyboard
//www.jd.id/product/logitech-mouse-wireless-m331-silent-blue_742796/10094044.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAAQAAAAIAB4yFwwAA7ro.jpg,LOGITECH Mouse Wireless M331 Silent - Blue
//www.jd.id/product/logitech-optical-mouse-m105-black_695927/10033184.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAACAAAAAMABRjETgAAaY0.jpg,LOGITECH Optical Mouse M105-Black
//www.jd.id/product/logitech-g300s-gaming-mouse_668975/10001365.html,//img20.jd.id/Indonesia/s220x220_/nHBfsgAAFwAAABcAABOHfAADILE.png,Logitech G300s Gaming Mouse
